CRO,BOS,84.97338494
CRO,BOS,84.99502188
KUW,IRQ,85.07982113
CAO,NIG,85.19915572
ISR,LEB,85.31408484
TOG,GHA,85.51383511
ISR,LEB,85.5494413
CRO,BOS,85.58063134
VEN,COL,85.66348582
PAK,IND,86.0027551
RUS,LAT,86.04634903
CAO,NIG,87.08858412
ISR,LEB,87.12367739
CRO,BOS,87.7064288
CRO,BOS,88.64962567
ISR,LEB,89.37077088
PRK,USA,89.96305827
NIG,CAO,90.19270752
LIB,CHA,90.22406469
ISR,LEB,90.53546688
HUN,YUG,90.58640923
NIG,CAO,90.68145172
ISR,LEB,90.79842145
RUS,AFG,91.01123285
TAJ,AFG,91.0575919
ISR,LEB,91.15821259
ISR,LEB,91.7622043
USA,PRK,91.98948971
YUG,ALB,92.46962211
ETH,SUD,92.79760541
ETH,SUD,92.82851976
ISR,LEB,92.86257383
ISR,LEB,93.88109484
ARM,IRN,93.91680682
THI,CAM,94.48740832
ROK,PRK,94.51984631
ROK,PRK,94.6105165
PRK,ROK,94.86338867
PRK,JPN,94.96908518
THI,CAM,95.33742578
RUS,JPN,95.45474427
NIC,COL,95.69111375
THI,CAM,96.05213323
YUG,ALB,96.26130971
ISR,LEB,96.30971508
RUS,UKR,96.52658639
RUS,UKR,96.62577552
UKR,RUS,96.656889
GRC,ALB,96.73934851
UKR,RUS,96.79190338
ISR,LEB,97.22422411
DRC,ZAM,97.26770033
TAW,PHI,97.46255013
TAW,VTM,97.49205457
USA,PRK,97.71970042
ISR,LEB,97.83582187
CAM,THI,98.0733507
YUG,USA,98.29294419
USA,YUG,98.34410578
ISR,LEB,98.55761986
THI,CAM,98.67147085
CAO,NIG,98.90796772
ROK,PRK,99.13901842
USA,PRK,99.15147547
CHN,VTM,99.25388372
YUG,MAC,99.29267265
USA,YUG,99.62953307
ISR,LEB,100.3435011
PAK,IND,100.584476
THI,CAM,100.8241087
SUD,EGY,101.5283597
ROK,PRK,101.6536095
ISR,SYR,101.8911326
DOM,HAI,102.6099149
ROK,PRK,102.841056
USA,HAI,102.9128515
USA,PRK,102.9318218
ROK,PRK,102.9336073
PRK,ROK,102.9421846
USA,PRK,102.9599273
ROK,PRK,102.964909
PRK,JPN,102.9692069
CHN,TAW,102.9754786
MAC,YUG,102.9927744
CHN,RUS,103.0082241
ISR,LEB,103.0170497
ISR,LEB,103.0670433
SYR,ISR,103.1025531
RUS,JPN,103.3149309
TUR,GRC,103.8103446
CAN,PRK,104.0313577
JPN,PRK,104.0330237
ROK,PRK,104.037163
AUL,PRK,104.0406338
USA,PRK,104.0412763
USA,PRK,104.1685461
YUG,MAC,104.3919559
ISR,LEB,104.7560132
ISR,LEB,106.4267317
CHN,VTM,106.5142927
ALB,GRC,106.5331003
ETH,SUD,106.5596633
ETH,SUD,106.5786678
VTM,CHN,106.6421438
ISR,LEB,106.6845451
ROK,PRK,107.387777
USA,HAI,107.9832944
ISR,LEB,108.4640802
ISR,LEB,108.5737391
ISR,LEB,108.8132631
ISR,LEB,109.172488
ISR,LEB,109.2983126
ISR,LEB,109.4038537
USA,HAI,110.1318427
HAI,USA,110.2377931
VTM,CHN,110.270331
ISR,LEB,110.3460343
KUW,IRQ,110.3770401
USA,IRQ,110.3909813
UGA,SUD,110.7196006
YUG,ALB,111.4134061
ALB,YUG,111.4464665
ISR,LEB,111.4624533
RUS,JPN,111.8851996
RUS,JPN,111.9087274
ISR,LEB,111.94328
ISR,LEB,112.7304982
SYR,ISR,112.7667491
CHN,ROK,112.8460525
CHN,USA,112.8963463
